Advice,Company,Target,Analyst,Date,Ticker
Buy,Alkem Laboratories L..,2161.0,Angel Broking,31 May 2017,
Buy,HCL Technologies Ltd.,1014.0,Angel Broking,15 May 2017,HCLTECH
Accumulate,Alembic Pharmaceutic..,648.0,Angel Broking,09 May 2017,
Neutral,Sanofi India Ltd.,,Angel Broking,09 May 2017,
Buy,Wipro Ltd.,570.0,Angel Broking,02 May 2017,
Accumulate,HDFC Bank Ltd.,1650.0,Angel Broking,24 Apr 2017,HDFCBANK
Buy,Tata Consultancy Ser..,2651.0,Angel Broking,24 Apr 2017,TCS
Buy,Infosys Ltd.,1179.0,Angel Broking,19 Apr 2017,INFY
Buy,Karur Vysya Bank Ltd.,140.0,Angel Broking,31 Mar 2017,
Buy,Kalpataru Projects I..,,Angel Broking,31 Mar 2017,
Buy,Navin Fluorine Inter..,3650.0,Angel Broking,27 Mar 2017,
Buy,Shankara Building Pr..,,Angel Broking,18 Mar 2017,
Neutral,CL Educate Ltd.,,Angel Broking,17 Mar 2017,
Neutral,Sanofi India Ltd.,,Angel Broking,10 Mar 2017,
Buy,Natco Pharma Ltd.,926.0,Angel Broking,09 Mar 2017,
Sell,Dishman Pharmaceutic..,143.0,Angel Broking,06 Mar 2017,
Buy,Repco Home Finance L..,825.0,Angel Broking,03 Mar 2017,
Buy,Akzo Nobel India Ltd.,1720.0,Angel Broking,28 Feb 2017,
Buy,Aurobindo Pharma Ltd.,877.0,Angel Broking,23 Feb 2017,
Neutral,Zydus Lifesciences L..,,Angel Broking,22 Feb 2017,
Neutral,Dr. Reddy's Laborato..,,Angel Broking,22 Feb 2017,
Accumulate,Ipca Laboratories Ltd.,613.0,Angel Broking,22 Feb 2017,
Buy,Garware Technical Fi..,710.0,Angel Broking,16 Feb 2017,
Neutral,Bank of Baroda,,Angel Broking,15 Feb 2017,
Buy,Sun Pharmaceutical I..,847.0,Angel Broking,15 Feb 2017,
Neutral,GlaxoSmithKline Phar..,,Angel Broking,15 Feb 2017,
Sell,Cipla Ltd.,465.0,Angel Broking,14 Feb 2017,CIPLA
Accumulate,Hero MotoCorp Ltd.,3466.0,Angel Broking,14 Feb 2017,
Accumulate,Alkem Laboratories L..,1996.0,Angel Broking,14 Feb 2017,
Buy,Lupin Ltd.,1809.0,Angel Broking,14 Feb 2017,
Accumulate,ICICI Bank Ltd.,315.0,Angel Broking,13 Feb 2017,
Buy,Navkar Corporation L..,265.0,Angel Broking,13 Feb 2017,
Accumulate,Radico Khaitan Ltd.,147.0,Angel Broking,13 Feb 2017,
Buy,Ashok Leyland Ltd.,111.0,Angel Broking,13 Feb 2017,
Buy,TV Today Network Ltd.,344.0,Angel Broking,10 Feb 2017,TVTODAY
Buy,KEI Industries Ltd.,207.0,Angel Broking,07 Feb 2017,KEI
Buy,Mirza International ..,107.0,Angel Broking,01 Feb 2017,
Buy,Wipro Ltd.,590.0,Angel Broking,01 Feb 2017,
Buy,Tech Mahindra Ltd.,600.0,Angel Broking,01 Feb 2017,
Accumulate,HDFC Bank Ltd.,1375.0,Angel Broking,31 Jan 2017,HDFCBANK
Neutral,Alembic Pharmaceutic..,,Angel Broking,31 Jan 2017,
Sell,Indoco Remedies Ltd.,240.0,Angel Broking,31 Jan 2017,
Accumulate,ITC Ltd.,284.0,Angel Broking,30 Jan 2017,
Accumulate,Siyaram Silk Mills L..,1605.0,Angel Broking,30 Jan 2017,
Neutral,UPL Ltd.,730.0,Angel Broking,27 Jan 2017,
Buy,Canara Bank,,Angel Broking,27 Jan 2017,
Accumulate,Maruti Suzuki India ..,6560.0,Angel Broking,27 Jan 2017,MARUTI
Neutral,Rallis India Ltd.,,Angel Broking,25 Jan 2017,
Buy,Amara Raja Energy & ..,1009.0,Angel Broking,25 Jan 2017,ARE&M
Buy,HCL Technologies Ltd.,1000.0,Angel Broking,25 Jan 2017,
